Fecha,Coord
2019-01-01,-89.6182234 20.9205315 0
2019-01-01,-89.6182234 20.9205315 0
2019-01-01,-89.6182234 20.9205315 0
2019-01-01,-89.6182216999999 20.9205509 -2
2019-01-01,-89.6182216999999 20.9205509 -2
2019-01-01,-89.6182252999999 20.9205428 0
2019-01-01,-89.6182274 20.9205397 0
2019-01-01,-89.6182274 20.9205397 0
2019-01-01,-89.6182274 20.9205397 0
2019-01-01,-89.6182274 20.9205397 0
2019-01-01,-89.618229 20.920541 0
2019-01-01,-89.618229 20.920541 0
2019-01-01,-89.618229 20.920541 0
2019-01-01,-89.6182103 20.9205331 0
2019-01-01,-89.6182103 20.9205331 0
2019-01-01,-89.6182147 20.9205684999999 0
2019-01-01,-89.6182094 20.9205674 0
2019-01-01,-89.6177051 20.92027 0
2019-01-01,-89.6176904 20.9203473 0
2019-01-01,-89.6181503 20.9206333 0
2019-01-01,-89.6181569 20.9205336 0
2019-01-01,-89.6182151 20.920517 -1
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6181917 20.9203977 -1
2019-01-01,-89.618149 20.9204933 0
2019-01-01,-89.618149 20.9204933 0
2019-01-01,-89.6181295999999 20.9205139 0
2019-01-01,-89.6182432 20.9205278 0
2019-01-01,-89.6182094999999 20.9204297 -1
2019-01-01,-89.6181993 20.9204126 -1
2019-01-01,-89.6180131 20.9204273999999 -1
2019-01-01,-89.6180131 20.9204273999999 -1
2019-01-01,-89.6181872 20.9203886 -1
2019-01-01,-89.6181871 20.9203858 -1
2019-01-01,-89.6181871 20.9203858 -1
2019-01-01,-89.6181922 20.9205313 -1
2019-01-01,-89.6181632 20.9205126 0
2019-01-01,-89.6181632 20.9205126 0
2019-01-01,-89.6182195999999 20.9205148 0
2019-01-01,-89.6182195999999 20.9205148 0
2019-01-01,-89.6181944 20.9205431999999 0
2019-01-01,-89.6181944 20.9205431999999 0
2019-01-01,-89.6182173 20.9205452 -1
2019-01-01,-89.6182173 20.9205452 -1
2019-01-01,-89.6182173 20.9205452 -1
2019-01-01,-89.6182216999999 20.9205375 -1
2019-01-01,-89.6181689 20.9205082 -1
2019-01-01,-89.6182295 20.9205348 0
2019-01-01,-89.618239 20.9205135 -1
2019-01-01,-89.6182171999999 20.9205328 -1
2019-01-01,-89.618203 20.9205163 -1
2019-01-01,-89.6179633 20.9205036 0
2019-01-01,-89.6182067 20.9205325999999 0
2019-01-01,-89.6182396999999 20.9205261 0
2019-01-01,-89.6182130999999 20.9205404999999 0
2019-01-01,-89.6182423 20.9205006999999 0
2019-01-01,-89.6182235 20.920565 -2
2019-01-01,-89.6182021 20.9204726999999 0
2019-01-01,-89.6182113999999 20.9205138 -1
2019-01-01,-89.6182087 20.9204847 -1
2019-01-01,-89.6182087 20.9204847 -1
2019-01-01,-89.6181381 20.920195 -1
2019-01-01,-89.618246 20.920486 0
2019-01-01,-89.618225 20.9205197 -1
2019-01-01,-89.6182070999999 20.9204767 -1
2019-01-01,-89.6182070999999 20.9204767 -1
2019-01-01,-89.6182171999999 20.9205757999999 0
2019-01-01,-89.6182103 20.920537 -1
2019-01-01,-89.6182103 20.920537 -1
2019-01-01,-89.6182017 20.9205875999999 -2
2019-01-01,-89.6182017 20.9205875999999 -2
2019-01-01,-89.6181907 20.9205433 -1
2019-01-01,-89.6182424 20.9205240999999 0
2019-01-01,-89.6182192999999 20.9205494 -2
2019-01-01,-89.6182072 20.9205476 -2
2019-01-01,-89.6182072 20.9205476 -2
2019-01-01,-89.6182049 20.9205571 0
2019-01-01,-89.6182049 20.9205571 0
2019-01-01,-89.6182049 20.9205571 0
2019-01-01,-89.6182321 20.9205514 0
2019-01-01,-89.6180541 20.9204182999999 -1
2019-01-01,-89.6181772 20.9204890999999 -1
2019-01-01,-89.6181772 20.9204890999999 -1
2019-01-01,-89.6182269999999 20.9205398999999 -1
2019-01-01,-89.6182269999999 20.9205398999999 -1
2019-01-01,-89.6182269999999 20.9205398999999 -1
2019-01-01,-89.6182187 20.9205436 -1
2019-01-01,-89.6182187 20.9205436 -1
2019-01-01,-89.6182187 20.9205436 -1
2019-01-01,-89.6182271999999 20.9205345 -1
2019-01-01,-89.6182293 20.9205343999999 -1
2019-01-01,-89.6182045 20.9205346 -1
2019-01-01,-89.6182045 20.9205346 -1
2019-01-01,-89.6182045 20.9205346 -1
2019-01-01,-89.6182031 20.9205525 -2
2019-01-01,-89.6182142999999 20.9205477 0
2019-01-01,-89.6182063 20.9205197 0
2019-01-01,-89.6182063 20.9205197 0
2019-01-01,-89.6182063 20.9205197 0
2019-01-01,-89.6182063 20.9205197 0
2019-01-01,-89.6182063 20.9205197 0
2019-01-01,-89.6182164 20.9205167 0
2019-01-01,-89.6181996 20.9205061 -1
2019-01-01,-89.6182153 20.9205369 0
2019-01-01,-89.6181694 20.9205388 0
2019-01-01,-89.6182078 20.9205451 0
2019-01-01,-89.6182078 20.9205451 0
2019-01-01,-89.6182259 20.9204996 0
2019-01-01,-89.6182259 20.9204996 0
2019-01-01,-89.6182198 20.9205447 0
2019-01-01,-89.6182048 20.9205634 0
2019-01-01,-89.6182048 20.9205634 0
2019-01-01,-89.618196 20.9205455 -2
2019-01-01,-89.618196 20.9205455 -2
2019-01-01,-89.618196 20.9205455 -2
2019-01-01,-89.618196 20.9205455 -2
2019-01-01,-89.618196 20.9205455 -2
2019-01-01,-89.6182188 20.9205448 -2
2019-01-01,-89.6182202999999 20.9205537 -2
2019-01-01,-89.6182302 20.9205449 -2
2019-01-01,-89.6182302 20.9205449 -2
2019-01-01,-89.6182302 20.9205449 -2
2019-01-01,-89.6182238999999 20.9205349999999 0
2019-01-01,-89.6182238999999 20.9205349999999 0
2019-01-01,-89.6182238999999 20.9205349999999 0
2019-01-01,-89.6182134 20.9205428 0
2019-01-01,-89.6182134 20.9205428 0
2019-01-01,-89.6182134 20.9205428 0
2019-01-01,-89.6182151 20.9205319999999 0
2019-01-01,-89.6182297 20.9205422 0
2019-01-01,-89.6182297 20.9205422 0
2019-01-01,-89.6182046 20.9205334 0
2019-01-01,-89.6182046 20.9205334 0
2019-01-01,-89.6182046 20.9205334 0
2019-01-01,-89.6182023 20.9205479 0
2019-01-01,-89.6182023 20.9205479 0
2019-01-01,-89.6182023 20.9205479 0
2019-01-01,-89.618223 20.9204722 0
2019-01-01,-89.6182189 20.920544 0
2019-01-01,-89.6182189 20.920544 0
2019-01-01,-89.6182189 20.920544 0
2019-01-01,-89.6181857 20.920524 0
2019-01-01,-89.6181857 20.920524 0
2019-01-01,-89.6181857 20.920524 0
2019-01-01,-89.6182331999999 20.9205410999999 0
2019-01-01,-89.6182331999999 20.9205410999999 0
2019-01-01,-89.6181331 20.9205345 0
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182202 20.9205200999999 0
2019-01-01,-89.6182264999999 20.9205067 -1
2019-01-01,-89.6182299 20.920544 0
2019-01-01,-89.6182248 20.9205349999999 0
2019-01-01,-89.6181976 20.9203686999999 -1
2019-01-01,-89.618225 20.9205197999999 -1
2019-01-01,-89.6182352 20.9205397 -2
2019-01-01,-89.6182352 20.9205397 -2
2019-01-01,-89.6181766999999 20.9204279999999 -1
2019-01-01,-89.6181617 20.9203574 -1
2019-01-01,-89.6182358 20.9205394 -2
2019-01-01,-89.6182358 20.9205394 -2
2019-01-01,-89.6182358 20.9205394 -2
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182384999999 20.9205129 -1
2019-01-01,-89.6182192 20.9205398999999 -1
2019-01-01,-89.6182268 20.9205337999999 0
2019-01-01,-89.6182269 20.9205342 0
2019-01-01,-89.6182307999999 20.9205346999999 0
2019-01-01,-89.6182307999999 20.9205346999999 0
2019-01-01,-89.6182307999999 20.9205346999999 0
2019-01-01,-89.6181974 20.9204872 -1
2019-01-01,-89.6181974 20.9204872 -1
2019-01-01,-89.6181974 20.9204872 -1
2019-01-01,-89.6182381 20.9205106999999 0
2019-01-01,-89.6182381 20.9205106999999 0
2019-01-01,-89.6182154999999 20.9205404999999 -1
2019-01-01,-89.6182269999999 20.9205397 0
2019-01-01,-89.6182222 20.9205395 0
2019-01-01,-89.6178927999999 20.9204936 -1
2019-01-01,-89.6181964 20.9205319999999 0
2019-01-01,-89.6181993 20.9205251 -1
2019-01-01,-89.6182396 20.9205213 -1
2019-01-01,-89.6182396 20.9205213 -1
2019-01-01,-89.618214 20.9205316999999 0
2019-01-01,-89.6182149 20.9205325 0
2019-01-01,-89.6182149 20.9205325 0
2019-01-01,-89.6182149 20.9205325 0
2019-01-01,-89.6182352 20.9205228 0
2019-01-01,-89.6182293 20.9205434999999 0
2019-01-01,-89.618223 20.9205398 0
2019-01-01,-89.618223 20.9205398 0
2019-01-01,-89.618223 20.9205398 0
2019-01-01,-89.618223 20.9205398 0
2019-01-01,-89.618223 20.9205398 0
2019-01-01,-89.6182307999999 20.9205436 0
2019-01-01,-89.6182305999999 20.9205431999999 0
2019-01-01,-89.6181821999999 20.9205358 0
2019-01-01,-89.6182264 20.9205325999999 0
2019-01-01,-89.6182264 20.9205325999999 0
2019-01-01,-89.6180717 20.9204199 0
2019-01-01,-89.6180717 20.9204199 0
2019-01-01,-89.6180717 20.9204199 0
2019-01-01,-89.6182315 20.9205143 0
2019-01-01,-89.6182104 20.9205401999999 0
2019-01-01,-89.6182279 20.9205383 0
2019-01-01,-89.618228 20.9205393 -1
2019-01-01,-89.6182283 20.9205398 -1
2019-01-01,-89.6182283 20.9205398 -1
2019-01-01,-89.6182283 20.9205398 -1
2019-01-01,-89.6182256 20.9205319999999 0
2019-01-01,-89.6182300999999 20.9205425 0
2019-01-01,-89.6181680999999 20.9205462 0
2019-01-01,-89.6182027999999 20.9205387 0
2019-01-01,-89.6182027999999 20.9205387 0
